plot_name,series,position,n,mean,std,q02_5,q25,median,q75,q97_5
n2_entropy_relative_curve,N2P,0.0,122,2.1856021229174734,0.34798830839352285,1.431692630830133,1.9604453332522933,2.2509069492560383,2.449766557795632,2.733441464673116
n2_entropy_relative_curve,N2P,0.00392156862745098,122,0.8779003616640474,0.3432677253742558,0.3460641749789257,0.6508463307401602,0.8424715966395749,1.1097699038259377,1.6582645329876644
n2_entropy_relative_curve,N2P,0.00784313725490196,122,0.7004157254748753,0.3631701223329558,0.12665030754612658,0.3902237571407079,0.6424569959252708,0.9525871701141734,1.386953222448041
n2_entropy_relative_curve,N2P,0.011764705882352941,122,0.6507801716391398,0.3327109248629268,0.13474870362888725,0.40950105199954745,0.6057222775819179,0.857360827883122,1.3894081988814433
n2_entropy_relative_curve,N2P,0.01568627450980392,122,0.6370802293989546,0.3077709053393985,0.19407023047165275,0.3717796181287101,0.6011978467323372,0.8429991383717989,1.1950966307604842
n2_entropy_relative_curve,N2P,0.0196078431372549,122,0.6585452205591197,0.3107925059707221,0.12691899893227077,0.42290825892882067,0.6325468088853599,0.8412233991249765,1.3179355611286159
n2_entropy_relative_curve,N2P,0.023529411764705882,122,0.6968922822606756,0.32556763238933606,0.15311516078240234,0.44370091812905366,0.6958721575267233,0.9068300888666407,1.4562426812278506
n2_entropy_relative_curve,N2P,0.027450980392156862,122,0.6966976700798893,0.30574494500013927,0.2268209100605455,0.45734167075992793,0.6659514481234972,0.8912429677501383,1.2862371424553651
n2_entropy_relative_curve,N2P,0.03137254901960784,122,0.6676490841182006,0.2968984447111233,0.13723140585872565,0.4669927102129079,0.6573167333452948,0.8453282652892519,1.2911931584446714
n2_entropy_relative_curve,N2P,0.03529411764705882,122,0.6584737893622243,0.28975478494692525,0.18877461821140487,0.4276238450835036,0.6525935871853052,0.8610507370876684,1.3330313484426162
n2_entropy_relative_curve,N2P,0.0392156862745098,122,0.6762099272723365,0.3050930830440126,0.20965821334620324,0.4433432629564105,0.6583705850230417,0.8758795568040955,1.2409425062284174
n2_entropy_relative_curve,N2P,0.043137254901960784,122,0.6915756553964116,0.31022023183274233,0.22027583354923283,0.45600568497287225,0.6581819853362545,0.9141478095453438,1.3113746815265026
