plot_name,series,position,n,mean,std,q02_5,q25,median,q75,q97_5
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.0,349,2.2375746321524463,0.3408893829138802,1.460998818691621,2.0549112663031543,2.2967291015263354,2.475463897246153,2.7138397391721405
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.00392156862745098,349,0.9079730299606512,0.3599076701309404,0.2617436322030524,0.654654705789657,0.9347695632929547,1.1552151432733,1.5766977415844263
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.00784313725490196,349,0.7048015119059656,0.3137390605927214,0.15472886362600383,0.4786254229046176,0.6724499372178818,0.9165568334810071,1.3594062378452911
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.011764705882352941,349,0.6846214290839566,0.3198674896105428,0.08877300529715716,0.4593947737190637,0.6666268177705146,0.8944510129325396,1.3018619111452798
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.01568627450980392,349,0.679347903410643,0.3164136200612294,0.10434448373316722,0.4531650928794802,0.6512621316427931,0.8898430704694911,1.374985522215771
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.0196078431372549,349,0.6723612692058931,0.31199636846473505,0.13441774571413373,0.4286608366998324,0.6585124074174195,0.8568425017026169,1.302907224833184
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.023529411764705882,349,0.6736751683852191,0.3167199693748613,0.1281076319997581,0.4571466113393122,0.6230681977255543,0.8946817022193628,1.350772412414053
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.027450980392156862,349,0.673420715471983,0.3228761887104743,0.12898687860441183,0.4262570808452205,0.6545566426301181,0.9127751759307674,1.3148652055667545
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.03137254901960784,349,0.6833361937527153,0.3035985443586391,0.1936768368462645,0.45104232792058246,0.651090709431112,0.8768264453112077,1.369241825828311
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.03529411764705882,349,0.6763442733232092,0.3046394598657372,0.14432159465207525,0.4499399312313017,0.6678459306941821,0.8606412219818329,1.3581479283864761
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.0392156862745098,349,0.6906223450013671,0.3266738464539107,0.13772331492992543,0.44530737296368883,0.6650663069979001,0.9185481907939054,1.3217262282200253
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.043137254901960784,349,0.6781133504135618,0.31168795272584926,0.16436740520670043,0.4356258480405841,0.6292140053024848,0.8832032352305254,1.323107413650107
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.047058823529411764,349,0.682235794202714,0.32796734413882345,0.11857725866437595,0.4352031340338028,0.65434383116956,0.8973333904277871,1.3708488978359066
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.050980392156862744,349,0.6844266343439599,0.3284845523672971,0.16354008542986326,0.4379321829907636,0.6359502347977956,0.8746540476692906,1.3921170852492604
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.054901960784313725,349,0.675865226018321,0.3175890488879267,0.15467422670245692,0.42714944184894943,0.6437667646287718,0.8716682243350611,1.3108487569617446
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.058823529411764705,349,0.6705372536339824,0.33395366237939006,0.12188989726254452,0.41395335113162846,0.6622539123579546,0.8631563117657667,1.4102870451859886
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.06274509803921569,349,0.6689768105128926,0.3347390254279351,0.12651960956343952,0.406389804794813,0.6509281299944022,0.8913947248327074,1.3797683241745897
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.06666666666666667,349,0.6827919817836273,0.33249774488086997,0.14567081529874493,0.4158772770491425,0.6394553285382543,0.9055729563870126,1.4543869632655018
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.07058823529411765,349,0.6684889918179279,0.3405641645337187,0.1425983803716221,0.4208304914088975,0.6468623470427936,0.8722812554147963,1.400623019356486
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.07450980392156863,349,0.6757735894090392,0.3396089072922564,0.11493979031749434,0.4286718991350632,0.6395987197009938,0.9232632912272667,1.35959558046216
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.0784313725490196,349,0.6740919003826333,0.34132430761848476,0.14439410543313788,0.41518376162587217,0.6371146685466496,0.8691254354987444,1.427434400953933
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.08235294117647059,349,0.6832845230142341,0.3428475137570655,0.11302286256429661,0.4534713875522553,0.6529777489783284,0.9123992149245669,1.4138581134541481
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.08627450980392157,349,0.6676002289776568,0.3434301783422293,0.11286933307899737,0.4157040339808903,0.6212120036592166,0.8663828076916971,1.4301547368375653
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.09019607843137255,349,0.6621170917899402,0.3386450350555805,0.10487949178142351,0.42511507660265074,0.6386228500261455,0.8793089900798498,1.3708313298505623
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.09411764705882353,349,0.6776051149073129,0.3436132621977692,0.14849538681780505,0.41281985467498417,0.6559006861985738,0.8981557375139564,1.3955232044206043
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.09803921568627451,349,0.6835653388441507,0.337603853846451,0.1579818540918992,0.43561333505327793,0.6435550562501581,0.8539505655838349,1.4690636532367072
compare_entropy_n1_vs_n2_relative_curve_nn,n1,0.10196078431372549,349,0.6828311733608599,0.3383094750430038,0.12270169035243297,0.44355533705500916,0.6343098231794155,0.8998993961453013,1.45475666368985
